"category","index","accuracy"
"Model 10","10148","1"
"Model 10","6238","4"
"Model 9","5033","4"
"Model 10","4139","3"
"Model 10","8931","1"
"Actual","11573","1"
"Model 9","8789","2"
"Actual","1851","3"
"Actual","6366","1"
"Model 10","10089","4"
"Model 10","8493","3"
"Model 9","906","4"
"Model 9","13561","1"
"Model 9","6875","3"
"Model 9","14819","2"
"Model 10","4088","2"
"Model 10","2784","1"
"Actual","14749","2"
"Model 10","11109","4"
"Actual","10653","4"
"Model 10","4762","2"
"Model 10","79","3"
"Model 10","2600","2"
"Model 10","8481","4"
"Model 10","14251","3"
"Model 9","13780","1"
"Actual","4116","4"
"Model 10","5112","1"
"Actual","13909","3"
"Actual","3814","1"
"Actual","2028","3"
"Model 9","14360","4"
"Actual","5743","4"
"Actual","14866","3"
"Model 10","12255","4"
"Model 9","3153","3"
"Model 9","11804","2"
"Actual","12562","3"
"Model 9","13956","1"
"Model 10","2811","4"
"Actual","859","4"
"Model 9","10138","1"
"Actual","5854","4"
"Actual","1608","2"
"Model 10","9404","4"
"Actual","7530","1"
"Model 9","13463","4"
"Actual","6617","2"
"Model 10","1177","0"
"Model 9","7276","2"
"Model 10","2080","2"
"Model 9","7040","1"
"Model 9","535","2"
"Model 10","9175","4"
"Model 9","6930","4"
"Model 10","3158","3"
"Model 9","11226","4"
"Actual","2271","2"
"Model 9","9129","1"
"Model 10","7113","1"
"Actual","13577","3"
"Model 9","14087","4"
"Model 9","8196","4"
"Model 9","6192","4"
"Model 10","13938","3"
"Model 10","14292","3"
"Model 10","7396","4"
"Model 10","6391","4"
"Model 10","11700","4"
"Model 9","14862","3"
"Actual","6282","4"
"Model 10","7679","3"
"Model 10","10250","2"
"Model 9","12543","4"
"Model 9","12973","2"
"Model 9","5503","3"
"Actual","1826","4"
"Actual","13661","1"
"Model 10","5082","3"
"Actual","3531","3"
"Model 9","3729","3"
"Model 10","644","3"
"Model 9","1941","2"
"Model 9","1601","3"
"Model 10","6","4"
"Model 9","12872","1"
"Model 9","4297","2"
"Actual","447","1"
"Model 10","14628","3"
"Model 9","8514","4"
"Actual","9903","4"
"Actual","7176","2"
"Actual","5753","2"
"Model 10","7040","4"
"Actual","793","4"
"Model 9","3253","4"
"Actual","2186","2"
"Model 10","11019","4"
"Model 10","2643","3"
"Model 10","5096","2"
"Model 10","13546","1"
"Model 9","859","4"
"Actual","3745","4"
"Model 9","6945","2"
"Model 9","14935","2"
"Model 9","13246","3"
"Model 10","4232","3"
"Model 10","11564","2"
"Actual","3119","4"
"Actual","13057","1"
"Actual","4859","3"
"Model 10","5690","4"
"Model 9","4119","2"
"Model 9","9821","4"
"Model 10","9531","2"
"Model 9","2364","4"
"Actual","8254","2"
"Model 10","14656","3"
"Model 10","2320","4"
"Model 9","14204","3"
"Model 10","8080","1"
"Model 9","2740","1"
"Actual","11132","1"
"Model 10","7530","4"
"Actual","2730","4"
"Model 9","1113","4"
"Model 10","3105","2"
"Model 9","13485","3"
"Model 10","14788","4"
"Model 10","12050","1"
"Actual","7155","3"
"Model 10","3257","2"
"Model 9","1288","4"
"Actual","5823","2"
"Model 9","6946","4"
"Model 10","4133","4"
"Model 9","3399","4"
"Model 9","370","4"
"Actual","5529","4"
"Actual","8599","4"
"Actual","12973","1"
"Actual","7301","1"
"Actual","14660","2"
"Actual","10829","3"
"Model 10","724","4"
"Model 10","5816","4"
"Actual","6295","2"
"Model 10","918","2"
"Model 9","11416","2"
"Model 9","9739","3"
"Model 9","1927","4"
"Model 9","4021","3"
"Model 9","6570","4"
"Model 9","2320","4"
"Model 10","12839","1"
"Model 9","12241","2"
"Actual","13331","4"
"Model 9","11653","2"
"Actual","10458","1"
"Model 10","6475","2"
"Actual","3687","4"
"Actual","1338","3"
"Model 9","3152","1"
"Model 9","7124","1"
"Actual","12642","2"
"Model 10","2803","2"
"Actual","1499","1"
"Model 9","4003","4"
"Actual","222","4"
"Model 10","2608","2"
"Model 9","13691","4"
"Model 10","734","1"
"Model 10","14756","4"
"Actual","13246","3"
"Model 10","9391","2"
"Model 9","11066","1"
"Model 10","10411","4"
"Model 10","9979","4"
"Model 9","3592","4"
"Model 9","12003","2"
"Model 9","8782","3"
"Actual","9515","3"
"Model 9","4177","1"
"Model 9","3832","2"
"Model 9","11640","4"
"Actual","2675","2"
"Model 10","9946","2"
"Model 10","12168","4"
"Actual","804","4"
"Model 10","14080","3"
"Actual","1662","2"
"Model 9","7007","1"
"Model 10","6004","4"
"Model 9","5646","4"
"Model 9","2210","1"
"Actual","14892","1"
"Model 9","7136","4"
"Model 10","767","2"
"Model 9","8893","3"
"Model 9","14398","4"
"Model 10","13173","4"
"Actual","7163","2"
"Model 10","10009","4"
"Actual","10524","4"
"Actual","3014","2"
"Model 10","913","2"
"Model 9","221","4"
"Model 9","5012","2"
"Actual","12350","4"
"Model 9","11322","4"
"Model 10","13265","1"
"Actual","14628","1"
"Actual","8697","2"
"Model 10","82","3"
"Model 10","7998","3"
"Model 9","14622","3"
"Model 9","3105","2"
"Model 10","5636","4"
"Model 10","6802","1"
"Model 10","4067","3"
"Model 9","11272","4"
"Actual","11324","4"
"Actual","14328","4"
"Model 10","4182","3"
"Model 9","3322","4"
"Model 9","5468","2"
"Actual","5265","4"
"Actual","14235","4"
"Model 9","12907","2"
"Actual","863","4"
"Model 9","12585","2"
"Actual","11111","3"
"Actual","10205","4"
"Model 9","5232","4"
"Model 10","12418","4"
"Model 10","1828","4"
"Model 10","12005","4"
"Actual","14716","2"
"Model 10","3111","2"
"Actual","10529","1"
"Model 10","11010","1"
"Model 10","14261","1"
"Actual","642","1"
"Model 10","9711","2"
"Model 10","2769","3"
"Actual","12349","4"
"Model 10","3578","1"
"Actual","12127","3"
"Actual","13333","3"
"Actual","7980","4"
"Model 10","11945","4"
"Model 9","1852","1"
"Model 10","13146","1"
"Model 10","3144","2"
"Model 9","11023","3"
"Model 9","5341","4"
"Model 10","408","2"
"Model 9","10386","4"
"Model 9","11719","4"
"Model 10","8811","1"
"Model 10","1049","2"
"Model 9","7390","4"
"Model 10","14552","1"
"Model 9","10324","0"
"Model 9","12910","3"
"Model 10","2943","3"
"Model 10","3499","3"
"Model 9","5489","2"
"Model 9","13864","2"
"Model 10","5969","3"
"Actual","3439","2"
"Actual","3807","3"
"Actual","7866","4"
"Actual","13024","4"
"Actual","12955","4"
"Actual","3979","2"
"Model 9","8367","4"
"Model 10","6737","1"
"Model 9","9281","4"
"Actual","10438","3"
"Actual","1156","1"
"Model 10","10438","2"
"Model 10","2736","4"
"Model 10","2207","2"
"Model 10","2353","4"
"Model 9","6874","2"
"Actual","448","1"
"Model 9","3300","4"
"Actual","7540","2"
"Model 9","13743","2"
"Model 10","6074","4"
"Actual","12392","4"
"Actual","11867","2"
"Model 9","5066","3"
"Model 9","99","4"
"Actual","35","1"
"Model 10","13509","4"
"Actual","11159","2"
"Actual","11059","4"
"Actual","5887","2"
"Actual","11276","2"
"Model 10","9028","4"
"Model 9","1884","2"
"Actual","14379","3"
"Model 9","13817","4"
"Actual","11961","3"
"Actual","2230","3"
"Model 10","4679","2"
"Model 9","13509","4"
"Model 9","13512","4"
"Model 9","4844","3"
"Actual","7135","4"
"Actual","14912","3"
"Model 10","12614","3"
"Actual","2273","2"
"Model 10","4925","4"
"Model 9","4166","2"
"Actual","12614","4"
"Model 10","12194","3"
"Model 9","13260","4"
"Model 10","9440","4"
"Model 9","3189","4"
"Model 10","7217","4"
"Actual","12895","3"
"Actual","13546","3"
"Model 10","13484","4"
"Model 9","14072","2"
"Model 10","1010","4"
"Model 10","14931","2"
"Model 9","825","3"
"Model 9","6753","3"
"Model 9","13517","4"
"Actual","6611","3"
"Model 10","12284","1"
"Model 9","4413","2"
"Model 10","5489","2"
"Model 9","856","4"
"Model 9","13880","4"
"Model 10","1332","4"
"Actual","13209","4"
"Model 9","13615","4"
"Actual","10765","3"
"Model 10","1963","2"
"Model 9","10905","4"
"Model 9","9502","4"
"Actual","6112","3"
"Actual","14577","3"
"Model 9","12616","4"
"Model 10","8280","2"
"Actual","14533","3"
"Model 9","6704","2"
"Model 10","2373","4"
"Model 9","7285","2"
"Model 10","10356","2"
"Model 10","7362","3"
"Model 10","12076","4"
"Model 10","9135","2"
"Model 9","13294","4"
"Model 9","12199","2"
"Model 9","13301","4"
"Actual","1828","2"
"Model 10","1146","3"
"Model 10","8530","1"
"Model 9","9242","4"
"Actual","7122","2"
"Model 10","10515","1"
"Model 10","12858","4"
"Actual","7479","2"
"Actual","4815","2"
"Actual","8801","1"
"Model 9","13449","3"
"Actual","10277","4"
"Model 9","6741","4"
"Model 9","10248","3"
"Model 9","5722","4"
"Model 9","1131","2"
"Model 9","1541","3"
"Actual","7271","2"
"Model 9","7655","4"
"Actual","6209","3"
"Actual","7305","2"
"Actual","4237","1"
"Actual","9988","3"
"Actual","10699","2"
"Model 10","6247","4"
"Actual","6305","2"
"Actual","6363","4"
"Actual","13538","3"
"Model 10","8011","4"
"Actual","1890","3"
"Model 10","10665","1"
"Model 9","4758","2"
"Model 10","13409","3"
"Actual","14624","3"
"Model 10","3933","4"
"Model 9","2245","3"
"Model 10","12751","4"
"Model 9","12618","2"
"Model 10","13682","1"
"Actual","13864","2"
"Model 9","2611","4"
"Model 10","5290","3"
"Actual","12438","3"
"Model 10","6016","2"
"Actual","1604","4"
"Actual","555","4"
"Model 10","7670","2"
"Model 9","916","4"
"Model 9","14531","4"
"Model 10","8801","1"
"Model 9","2430","4"
"Actual","11413","2"
"Model 10","428","1"
"Model 10","4938","4"
"Model 10","7231","4"
"Model 10","14266","3"
"Model 10","3116","1"
"Actual","4543","4"
"Model 9","9793","2"
"Actual","9933","4"
"Model 10","12712","1"
"Model 10","2740","1"
"Actual","10232","4"
"Model 10","1365","3"
"Model 9","12226","4"
"Model 10","7080","1"
"Model 10","14686","1"
"Model 9","5878","1"
"Actual","10550","1"
"Model 10","6711","1"
"Model 10","1644","2"
"Model 9","13024","2"
"Actual","5792","3"
"Model 9","12519","1"
"Model 10","2813","4"
"Model 9","3867","2"
"Model 9","4941","4"
"Model 9","3180","4"
"Model 9","8516","1"
"Actual","10414","2"
"Model 9","9311","2"
"Model 10","7598","3"
"Actual","12284","2"
"Model 9","3231","1"
"Model 10","10931","2"
"Model 10","1338","4"
"Actual","13338","4"
"Actual","4013","2"
"Model 10","9081","4"
"Model 10","7627","4"
"Model 9","3013","4"
"Model 9","4184","3"
"Model 10","6603","4"
"Model 9","8581","3"
"Actual","2012","2"
"Model 10","9583","3"
"Model 10","14149","4"
"Model 9","9763","2"
"Actual","10574","3"
"Model 10","11930","3"
"Actual","12654","4"
"Model 10","2391","4"
"Model 10","8858","2"
"Actual","7159","4"
"Model 10","533","3"
"Model 10","6441","4"
"Model 10","13474","4"
"Model 10","7192","3"
"Model 9","9497","4"
"Model 10","663","4"
"Model 9","10237","3"
"Model 10","13822","4"
"Model 10","5231","1"
"Actual","6717","2"
"Model 9","4076","1"
"Model 10","3493","2"
"Model 9","12299","4"
"Actual","12255","3"
"Model 9","5640","4"
"Actual","11875","1"
"Model 10","10484","1"
"Actual","2896","2"
"Actual","9092","3"
"Model 9","10970","3"
"Model 9","2990","3"
"Actual","13183","4"
"Model 10","14912","1"
"Model 9","1269","4"
"Actual","12862","4"
"Model 10","1371","4"
"Model 10","10812","2"
"Model 9","4737","4"
"Model 9","9946","2"
"Model 9","11945","4"
"Actual","9727","1"
"Model 9","13381","2"
"Actual","11719","4"
"Model 9","3905","4"
"Model 10","14829","4"
"Model 10","911","2"
"Model 10","783","4"
"Model 9","2450","4"
"Model 9","9769","2"
"Actual","8028","2"
"Model 10","8693","4"
"Model 10","1296","4"
"Model 9","8560","3"
"Model 10","1406","1"
"Actual","11244","2"
"Model 10","12440","1"
"Actual","9547","1"
"Actual","2378","2"
"Actual","5806","3"
"Model 10","14672","4"
"Model 10","9112","2"
"Model 9","8992","4"
"Model 9","3499","3"
"Model 9","12273","4"
"Actual","13985","3"
"Model 10","4352","2"
"Actual","8481","4"
"Model 9","9480","4"
"Model 10","763","3"
"Actual","13939","2"
"Model 10","4643","1"
"Model 10","8375","1"
"Model 10","9421","2"
"Model 9","7298","4"
"Model 9","10795","2"
"Actual","2627","4"
"Model 10","1433","4"
"Model 9","10051","4"
"Actual","5856","2"
"Model 10","10429","1"
"Model 9","2000","4"
"Actual","13164","2"
"Actual","10360","4"
"Actual","1749","1"
"Model 10","13514","4"
"Model 9","10786","4"
"Model 10","5743","4"
"Model 10","14781","4"
"Model 10","14328","2"
"Model 9","1520","1"
"Actual","3191","4"
"Actual","12307","4"
"Model 10","3397","2"
"Actual","4928","1"
"Model 10","4721","4"
"Model 10","1633","1"
"Model 10","12762","1"
"Model 10","4941","2"
"Model 9","5096","2"
"Model 10","10757","2"
"Actual","8676","2"
"Actual","506","1"
"Model 10","6099","4"
"Actual","8044","1"
"Model 9","13378","3"
"Model 9","12255","4"
"Actual","9726","0"
"Model 10","4203","2"
"Actual","4223","4"
"Actual","12121","2"
"Actual","8572","2"
"Model 9","13370","3"
"Model 9","12064","3"
"Actual","10029","4"
"Model 9","10031","2"
"Actual","14448","3"
"Model 10","11089","4"
"Actual","9081","4"
"Model 9","7381","2"
"Model 10","13156","1"
"Model 10","9739","4"
"Model 9","1907","4"
"Actual","1626","2"
"Actual","5246","4"
"Model 10","6249","2"
"Model 10","11332","4"
"Model 9","10932","2"
"Actual","8664","2"
"Model 9","14278","1"
"Model 9","13901","4"
"Actual","4119","2"
"Model 10","11276","4"
"Model 9","4403","2"
"Actual","5184","2"
"Actual","3867","1"
"Model 10","14946","4"
"Actual","5710","4"
"Model 9","11659","3"
"Actual","4326","4"
"Model 10","9253","4"
"Model 9","13915","4"
"Actual","3492","2"
"Actual","6463","2"
"Model 9","9106","1"
"Model 10","3325","1"
"Actual","2835","2"
"Model 10","7210","2"
"Actual","6475","2"
"Actual","5982","3"
"Model 9","1638","1"
"Model 9","12112","4"
"Model 9","9648","1"
"Actual","8775","3"
"Actual","14449","2"
"Model 9","5090","4"
"Actual","14686","2"
"Actual","911","2"
"Actual","11272","4"
"Model 10","4964","3"
"Model 10","7501","1"
"Model 10","11433","4"
"Actual","10489","2"
"Actual","3023","1"
"Actual","12762","2"
"Actual","4003","3"
"Actual","7617","4"
"Actual","9951","4"
"Actual","14644","2"
"Model 9","5650","4"
"Model 10","3905","4"
"Model 10","13864","2"
"Model 9","14641","4"
"Actual","12521","3"
"Model 10","4545","2"
"Model 10","14814","3"
"Model 10","218","2"
"Model 9","14637","2"
"Actual","7912","3"
"Model 10","8701","4"
"Actual","6965","2"
"Actual","7597","2"
"Actual","1251","4"
"Model 10","986","2"
"Actual","7377","4"
"Model 10","6127","1"
"Model 9","4543","4"
"Model 10","11271","1"
"Actual","11574","4"
"Model 10","8392","3"
"Model 10","10015","4"
"Model 9","4240","2"
"Model 9","5238","1"
"Model 10","11133","1"
"Actual","13504","2"
"Model 10","5529","2"
"Actual","4365","1"
"Model 10","10478","3"
"Model 9","10710","4"
"Model 9","11091","2"
"Model 9","9136","2"
"Actual","10648","4"
"Model 10","3867","2"
"Model 9","11133","2"
"Model 9","2620","1"
"Model 10","7296","2"
"Actual","1217","3"
"Model 10","7234","4"
"Model 10","12054","2"
"Model 9","13367","4"
"Model 9","12288","3"
"Actual","12473","2"
"Model 9","12902","1"
"Model 10","12720","1"
"Model 9","10812","2"
"Model 9","2305","2"
"Model 9","10329","3"
"Actual","14360","1"
"Actual","9821","2"
"Model 10","5794","4"
"Model 9","12548","2"
"Actual","14583","3"
"Model 10","10338","2"
"Actual","4133","2"
"Actual","11460","2"
"Model 9","6323","2"
"Model 10","9609","2"
"Model 9","3406","1"
"Actual","11325","2"
"Model 10","891","1"
"Model 10","13104","3"
"Model 9","9146","1"
"Model 9","10356","3"
"Actual","5877","4"
"Actual","11431","4"
"Actual","8120","2"
"Model 10","11355","3"
"Actual","4179","2"
"Model 9","11376","4"
"Actual","11882","4"
"Actual","10665","1"
"Actual","1578","1"
"Actual","2411","1"
"Actual","14454","2"
"Model 10","9968","1"
"Model 10","8260","3"
"Model 10","11756","2"
"Model 9","14314","1"
"Actual","12819","4"
"Model 10","2434","1"
"Model 9","8681","3"
"Actual","12556","2"
"Actual","92","4"
"Actual","4694","0"
"Model 10","9816","2"
"Actual","13312","4"
"Model 10","5748","1"
"Model 9","14846","1"
"Actual","2939","2"
"Model 10","12652","1"
"Model 9","5743","4"
"Model 9","13785","3"
"Model 10","13843","3"
"Model 9","12824","4"
"Model 10","6609","1"
"Model 9","4732","3"
"Model 9","7965","3"
"Model 10","13164","1"
"Model 9","7068","1"
"Actual","14610","3"
"Actual","3709","1"
"Model 10","13515","3"
"Model 9","7627","4"
"Actual","12154","4"
"Model 10","4930","2"
"Actual","13219","4"
"Actual","776","1"
"Actual","5176","4"
"Model 10","10143","3"
"Model 9","11123","3"
"Model 9","3015","1"
"Actual","8267","1"
"Model 9","13808","2"
"Model 9","12298","1"
"Model 10","12210","2"
"Model 10","4170","1"
"Model 9","3625","2"
"Model 9","14240","2"
"Actual","12108","3"
"Actual","5890","3"
"Model 9","14788","1"
"Model 9","12483","1"
"Model 9","7135","4"
"Model 10","7546","4"
"Model 9","2227","1"
"Model 10","5825","1"
"Model 9","3516","1"
"Model 10","13408","3"
"Model 10","3828","1"
"Actual","248","2"
"Actual","7303","4"
"Model 9","14103","4"
"Model 9","4841","2"
"Model 10","13807","4"
"Model 9","8358","4"
"Model 10","8908","4"
"Model 10","9933","4"
"Model 9","11913","4"
"Model 9","12978","3"
"Actual","1546","1"
"Model 10","3399","4"
"Actual","11088","2"
"Model 10","7281","4"
"Actual","5721","2"
"Model 10","370","4"
"Model 9","11792","2"
"Model 9","14781","4"
"Actual","4355","1"
"Actual","4518","4"
"Actual","4484","2"
"Model 10","1902","2"
"Actual","7775","4"
"Actual","14381","2"
"Actual","5065","3"
"Model 10","8374","3"
"Actual","82","2"
"Model 10","11803","4"
"Model 9","14173","1"
"Model 10","99","1"
"Model 10","3526","4"
"Model 10","11325","1"
"Actual","7395","2"
"Model 10","5609","4"
"Model 10","9679","4"
"Model 10","7007","1"
"Model 9","13209","4"
"Model 9","9951","1"
"Model 9","6399","4"
"Model 10","8271","1"
"Model 10","11910","4"
"Actual","6672","4"
"Actual","13596","3"
"Model 9","8974","1"
"Actual","5134","4"
"Actual","6950","1"
"Model 9","5910","2"
"Actual","12417","2"
"Model 10","6382","4"
"Model 9","10884","2"
"Model 10","510","2"
"Actual","7366","3"
"Model 10","11913","2"
"Model 10","9726","1"
"Model 10","8029","4"
"Model 9","9421","2"
"Model 10","7784","4"
"Model 10","8143","2"
"Model 9","13935","4"
"Actual","3497","4"
"Model 10","11244","2"
"Model 10","10181","2"
"Model 10","2661","2"
"Model 9","359","4"
"Model 9","10163","2"
"Model 10","1216","4"
"Model 9","4380","2"
"Model 10","8359","3"
"Model 9","4067","3"
"Actual","4575","4"
"Model 10","10996","3"
"Actual","5975","3"
"Model 10","12684","2"
"Model 10","2940","4"
"Actual","2938","1"
"Model 10","12581","1"
"Actual","1160","1"
"Model 10","10382","4"
"Model 9","7638","3"
"Actual","10419","4"
"Model 9","3869","2"
"Model 9","11957","1"
"Actual","5307","1"
"Actual","408","3"
"Model 10","8059","1"
"Model 10","6456","4"
"Model 10","5753","2"
"Model 9","7272","2"
"Actual","2114","3"
"Actual","12440","1"
"Model 10","691","2"
"Model 9","2262","4"
"Model 9","3423","4"
"Actual","13512","3"
"Model 9","6984","4"
"Model 10","9063","2"
"Actual","11318","1"
"Actual","12794","0"
"Model 9","5326","2"
"Model 10","7841","2"
"Model 10","5975","2"
"Actual","4925","0"
"Model 10","342","4"
"Model 10","8697","2"
"Model 9","7313","1"
"Model 9","12453","4"
"Model 9","11737","2"
"Model 10","8899","4"
"Model 10","4468","4"
"Model 9","3393","3"
"Model 10","3291","2"
"Actual","12543","1"
"Model 10","91","1"
"Model 9","1094","3"
"Model 9","9792","4"
"Model 9","13603","1"
"Model 9","14726","4"
"Actual","14301","0"
"Actual","2311","4"
"Model 10","11978","3"
"Model 10","13932","2"
"Model 10","9668","2"
"Actual","3929","4"
"Actual","790","4"
"Model 10","5111","2"
"Actual","2593","3"
"Model 10","793","1"
"Model 10","9843","2"
"Model 10","8955","3"
"Model 9","12077","1"
"Model 9","10375","4"
"Actual","7985","1"
"Actual","9578","2"
"Model 10","6020","2"
"Model 10","8676","4"
"Model 9","13661","3"
"Actual","12847","4"
"Actual","14335","4"
"Model 9","6692","2"
"Model 9","7","3"
"Model 9","8504","2"
"Model 9","8005","2"
"Model 9","12414","3"
"Model 10","10539","1"
"Model 10","2419","2"
"Actual","3013","4"
"Model 9","1217","3"
"Actual","3144","1"
"Actual","2331","3"
"Actual","13248","4"
"Actual","232","4"
"Model 10","1206","2"
"Actual","11408","4"
"Model 10","6704","2"
"Model 10","9999","1"
"Actual","12948","2"
"Actual","2564","1"
"Model 10","5372","4"
"Actual","2742","4"
"Model 9","4171","2"
"Model 10","5329","2"
"Model 10","7565","4"
"Model 9","5435","3"
"Model 9","2722","4"
"Actual","4921","1"
"Actual","986","2"
"Actual","13915","3"
"Model 10","12605","4"
"Actual","10799","4"
"Model 9","9226","2"
"Model 9","13970","1"
"Model 10","9203","2"
"Model 10","949","4"
"Actual","2061","1"
"Actual","1868","4"
"Model 9","2600","2"
"Model 10","8763","2"
"Model 9","7080","1"
"Model 9","12097","2"
"Model 9","10918","1"
"Actual","12067","4"
"Model 9","14519","2"
"Model 10","1684","2"
"Model 9","74","2"
"Actual","7736","4"
"Model 10","12737","2"
"Actual","4867","2"
"Actual","1454","2"
"Model 10","5149","4"
"Model 10","246","2"
"Model 10","14768","2"
"Actual","11446","1"
"Model 9","3361","3"
"Model 9","5111","2"
"Actual","2320","4"
"Model 10","6731","3"
"Actual","3201","1"
"Model 10","11495","1"
"Model 9","11342","4"
"Model 10","2919","3"
"Model 9","4222","4"
"Actual","11478","2"
"Actual","12216","3"
"Model 9","13751","4"
"Actual","9546","2"
"Actual","11222","2"
"Actual","12902","1"
"Model 9","14878","2"
"Model 9","7400","1"
"Model 9","6428","4"
"Model 9","2132","2"
"Model 10","6999","3"
"Model 9","10920","1"
"Model 9","9910","4"
"Actual","13536","1"
"Actual","8737","2"
"Actual","4847","4"
"Model 10","2934","3"
"Actual","7371","2"
"Actual","12334","2"
"Actual","14537","4"
"Model 9","4954","2"
"Model 10","11263","1"
"Model 10","10584","2"
"Model 9","7866","4"
"Model 9","5749","4"
"Model 9","2182","1"
"Actual","12318","2"
"Actual","6327","4"
"Model 9","796","3"
"Model 10","397","1"
"Model 9","8374","3"
"Model 10","551","1"
"Model 9","12371","2"
"Model 9","14706","4"
"Model 10","2627","4"
"Model 10","7612","3"
"Model 10","9637","2"
"Actual","6499","4"
"Actual","10500","1"
"Actual","246","3"
"Actual","2768","4"
"Model 9","10320","1"
"Actual","9916","2"
"Actual","14255","4"
"Model 9","9284","1"
"Model 10","3671","3"
"Model 10","2687","1"
"Actual","5132","4"
"Model 10","10650","1"
"Model 10","4355","2"
"Actual","14011","2"
"Model 9","396","3"
"Model 10","14928","4"
"Actual","12910","3"
"Model 9","9816","2"
"Model 9","6908","3"
"Model 9","6508","4"
"Model 9","7979","3"
"Actual","11236","3"
"Actual","3691","4"
"Model 10","2751","2"
"Model 9","11013","4"
"Actual","5528","3"
"Model 10","854","2"
"Model 10","11411","2"
"Model 10","5878","2"
"Model 9","14644","3"
"Model 9","4510","1"
"Model 10","10694","3"
"Model 9","8679","4"
"Model 9","4326","4"
"Model 10","3498","4"
"Actual","8917","4"
"Actual","7773","4"
"Model 10","7457","0"
"Model 9","12431","4"
"Model 10","516","4"
"Model 9","4355","2"
"Actual","4645","2"
"Model 10","7652","4"
"Model 9","3946","4"
"Model 9","4040","4"
"Model 10","11147","1"
"Model 10","12983","3"
"Model 9","857","4"
"Model 10","11965","3"
"Actual","1756","1"
"Actual","316","4"
"Model 9","7008","2"
"Actual","6331","2"
"Model 10","2450","4"
"Model 10","7123","3"
"Model 9","7746","2"
"Model 9","4490","2"
"Model 9","5398","4"
"Model 10","13475","3"
"Model 10","2856","4"
"Actual","7609","1"
"Model 9","428","1"
"Actual","345","2"
"Model 10","4894","4"
"Actual","8367","2"
"Model 10","12987","2"
"Model 10","13198","4"
"Model 9","1177","0"
"Actual","7275","1"
"Actual","7929","1"
"Model 9","891","4"
"Actual","11910","2"
"Model 10","12886","4"
"Model 9","12168","4"
"Model 9","10216","4"
"Model 9","14184","4"
"Actual","11896","1"
"Model 9","10864","4"
"Actual","10328","1"
"Actual","13225","4"
"Model 9","177","4"
"Actual","12605","2"
"Model 9","14341","3"
"Actual","4571","1"
"Model 10","825","3"
"Actual","916","2"
"Model 9","5717","4"
"Model 9","112","4"
"Model 10","4558","2"
"Actual","8763","3"
"Actual","4679","3"
"Model 9","13371","4"
"Actual","370","4"
"Model 9","7957","2"
"Model 10","12417","2"
"Model 10","11868","3"
"Actual","1638","4"
"Actual","10449","2"
"Model 10","1907","4"
"Actual","7873","4"
"Actual","5290","2"
"Actual","1953","2"
"Model 9","2372","1"
"Model 10","8244","2"
"Model 10","2564","2"
"Model 10","385","4"
"Model 10","6757","1"
"Model 9","7599","1"
"Model 10","2797","1"
"Model 10","2932","3"
"Actual","2298","1"
"Model 10","11151","4"
"Model 10","10179","4"
"Actual","11114","2"
"Model 9","6394","4"
"Model 9","7043","2"
"Model 9","3731","1"
"Actual","10905","2"
"Actual","13832","2"
"Model 10","8439","2"
"Actual","11944","1"
"Actual","7746","3"
"Model 10","2528","3"
"Actual","6000","2"
"Model 9","6458","1"
"Actual","5881","2"
"Actual","13429","1"
"Model 10","4330","3"
"Actual","7956","3"
"Actual","11194","4"
"Model 10","10871","2"
"Model 10","4642","4"
"Actual","3372","3"
"Model 9","9955","3"
"Model 10","5193","3"
"Model 10","6305","4"
"Model 9","14267","1"
"Model 10","994","3"
"Model 10","2106","4"
"Model 9","4610","2"
"Model 9","227","1"
"Model 10","7374","1"
"Model 9","6074","4"
"Actual","11496","4"
"Model 9","12736","3"
"Model 9","7588","1"
"Actual","7083","2"
"Model 9","1336","1"
"Model 10","4543","4"
"Actual","9317","4"
"Actual","7565","4"
"Actual","6886","4"
"Actual","10556","1"
"Model 9","12556","4"
"Actual","14806","4"
"Actual","10003","1"
"Actual","8363","1"
"Model 10","10114","2"
"Model 10","10256","3"
"Model 10","2981","1"
"Actual","3625","2"
"Model 9","4754","4"
"Model 9","9270","4"
"Actual","11100","4"
"Actual","2316","1"
"Model 9","7915","4"
"Actual","342","3"
"Model 10","22","4"
"Actual","13996","4"
"Actual","14637","1"
"Model 10","4403","2"
"Model 9","10978","4"
"Model 10","13690","2"
"Actual","1321","4"
"Model 10","14072","3"
"Model 10","5710","2"
"Model 9","274","4"
"Actual","470","4"
"Actual","9440","2"
"Actual","14362","2"
"Actual","6458","2"
"Model 9","12297","2"
"Actual","7977","4"
"Model 10","13596","4"
"Model 9","5289","4"
"Model 9","11612","4"
"Model 9","2007","4"
"Actual","9545","1"
"Actual","8955","1"
"Model 10","8110","4"
"Model 10","10601","1"
"Model 10","13234","2"
"Model 9","2515","2"
"Actual","5644","4"
"Model 10","1156","1"
"Model 9","8468","4"
"Model 9","3531","2"
"Actual","13090","1"
"Model 9","4331","4"
"Actual","13374","3"
"Model 10","10627","1"
"Model 9","9395","1"
"Actual","5834","2"
"Model 10","9458","2"
"Model 9","13244","2"
"Model 10","14862","3"
"Model 10","2298","1"
"Model 10","11307","2"
"Actual","2537","2"
"Actual","9180","1"
"Actual","14020","4"
"Model 9","14080","1"
"Model 10","1927","4"
"Model 10","14842","4"
"Model 10","3177","2"
"Actual","14364","2"
